Gene	miRNA
CTDSP1	hsa-miR-26b-5p
CTDSP2	hsa-miR-26a-2-3p
CTDSP2	hsa-miR-26a-5p
CTDSPL	hsa-miR-26a-1-3p
CTDSPL	hsa-miR-26a-5p
CTIF	hsa-miR-4743-3p
CTIF	hsa-miR-4743-5p
CTNNA3	hsa-miR-7151-3p
CTNNA3	hsa-miR-7151-5p
CTPS2	hsa-miR-548am-3p
CTPS2	hsa-miR-548am-5p
CUL2	hsa-miR-3611
CUL4A	hsa-miR-8075
CUX2	hsa-miR-6760-3p
CUX2	hsa-miR-6760-5p
CYLD	hsa-miR-3181
CYP19A1	hsa-miR-7973
DALRD3	hsa-miR-191-3p
DALRD3	hsa-miR-191-5p
DALRD3	hsa-miR-425-3p
DALRD3	hsa-miR-425-5p
DCAF6	hsa-miR-1255b-2-3p
DCAF6	hsa-miR-1255b-5p
DCC	hsa-miR-4528
DDIT3	hsa-miR-616-3p
DDIT3	hsa-miR-616-5p
DDX52	hsa-miR-378j
DDX54	hsa-miR-7106-3p
DDX54	hsa-miR-7106-5p
DENND1A	hsa-miR-601
DENND1A	hsa-miR-7150
DENND4A	hsa-miR-4511
DGAT1	hsa-miR-6848-3p
DGAT1	hsa-miR-6848-5p
DGKZ	hsa-miR-4688
DHRS3	hsa-miR-6730-3p
DHRS3	hsa-miR-6730-5p
DHX15	hsa-miR-573
DHX30	hsa-miR-1226-3p
DHX30	hsa-miR-1226-5p
DICER1	hsa-miR-3173-3p
DICER1	hsa-miR-3173-5p
DIP2C	hsa-miR-5699-3p
DIP2C	hsa-miR-5699-5p
DIS3L2	hsa-miR-562
DLG1	hsa-miR-4797-3p
DLG1	hsa-miR-4797-5p
DMD	hsa-miR-3915
DMD	hsa-miR-548f-3p
DMXL1	hsa-miR-5706
DNAJC5	hsa-miR-941
DNM2	hsa-miR-4748
DNM2	hsa-miR-638
DNM2	hsa-miR-6793-3p
DNM2	hsa-miR-6793-5p
DNM3	hsa-miR-3120-3p
DNM3	hsa-miR-3120-5p
DNMT3A	hsa-miR-1301-3p
DNMT3A	hsa-miR-1301-5p
DOCK10	hsa-miR-4439
DOCK2	hsa-miR-378e
DOCK5	hsa-miR-6876-3p
DOCK5	hsa-miR-6876-5p
DPCD	hsa-miR-3158-3p
DPCD	hsa-miR-3158-5p
DPH6	hsa-miR-3942-3p
DPH6	hsa-miR-3942-5p
DPY19L1	hsa-miR-548n
DRD2	hsa-miR-4301
DSCAM	hsa-miR-4760-3p
DSCAM	hsa-miR-4760-5p
DTL	hsa-miR-3122
DYM	hsa-miR-4744
DYRK1B	hsa-miR-6719-3p
EBF3	hsa-miR-4297
ECHS1	hsa-miR-3944-3p
ECHS1	hsa-miR-3944-5p
ECM2	hsa-miR-4670-3p
ECM2	hsa-miR-4670-5p
