TF	miRNA
E2F3	hsa-miR-15a-5p
E2F3	hsa-miR-15b-3p
E2F3	hsa-miR-15b-5p
E2F3	hsa-miR-17-3p
E2F3	hsa-miR-17-5p
E2F3	hsa-miR-18a-3p
E2F3	hsa-miR-18a-5p
E2F3	hsa-miR-195-3p
E2F3	hsa-miR-195-5p
E2F3	hsa-miR-19a-3p
E2F3	hsa-miR-19a-5p
E2F3	hsa-miR-19b-1-5p
E2F3	hsa-miR-19b-3p
E2F3	hsa-miR-200b-3p
E2F3	hsa-miR-200b-5p
E2F3	hsa-miR-20a-3p
E2F3	hsa-miR-20a-5p
E2F3	hsa-miR-25-3p
E2F3	hsa-miR-25-5p
E2F3	hsa-miR-27b-3p
E2F3	hsa-miR-27b-5p
E2F3	hsa-miR-34a-3p
E2F3	hsa-miR-34a-5p
E2F3	hsa-miR-92a-1-5p
E2F3	hsa-miR-92a-3p
E2F6	hsa-miR-193a-3p
E2F6	hsa-miR-193a-5p
E2F7	hsa-miR-15a-3p
E2F7	hsa-miR-15a-5p
E2F7	hsa-miR-25-3p
E2F7	hsa-miR-25-5p
E2F7	hsa-miR-27b-3p
E2F7	hsa-miR-27b-5p
EED	hsa-miR-141-3p
EED	hsa-miR-141-5p
EED	hsa-miR-146a-3p
EED	hsa-miR-146a-5p
EED	hsa-miR-155-3p
EED	hsa-miR-155-5p
EED	hsa-miR-200a-3p
EED	hsa-miR-200a-5p
EED	hsa-miR-200b-3p
EED	hsa-miR-200b-5p
EED	hsa-miR-200c-3p
EED	hsa-miR-200c-5p
EED	hsa-miR-429
EGFR	hsa-miR-1-3p
EGFR	hsa-miR-1-5p
EGFR	hsa-miR-21-3p
EGFR	hsa-miR-21-5p
EGFR	hsa-miR-96-3p
EGFR	hsa-miR-96-5p
EGR1	hsa-let-7e-3p
EGR1	hsa-let-7e-5p
EGR1	hsa-miR-106a-3p
EGR1	hsa-miR-106a-5p
EGR1	hsa-miR-10a-3p
EGR1	hsa-miR-10a-5p
EGR1	hsa-miR-124-3p
EGR1	hsa-miR-124-5p
EGR1	hsa-miR-125a-3p
EGR1	hsa-miR-125a-5p
EGR1	hsa-miR-130b-3p
EGR1	hsa-miR-130b-5p
EGR1	hsa-miR-132-3p
EGR1	hsa-miR-132-5p
EGR1	hsa-miR-142-3p
EGR1	hsa-miR-142-5p
EGR1	hsa-miR-146b-3p
EGR1	hsa-miR-146b-5p
EGR1	hsa-miR-148a-3p
EGR1	hsa-miR-148a-5p
EGR1	hsa-miR-149-3p
EGR1	hsa-miR-149-5p
EGR1	hsa-miR-152-3p
EGR1	hsa-miR-152-5p
EGR1	hsa-miR-181c-3p
EGR1	hsa-miR-181c-5p
EGR1	hsa-miR-181d-3p
EGR1	hsa-miR-181d-5p
EGR1	hsa-miR-183-3p
EGR1	hsa-miR-183-5p
EGR1	hsa-miR-185-3p
EGR1	hsa-miR-185-5p
EGR1	hsa-miR-191-3p
EGR1	hsa-miR-191-5p
EGR1	hsa-miR-199a-3p
EGR1	hsa-miR-199a-5p
EGR1	hsa-miR-200b-3p
EGR1	hsa-miR-200b-5p
EGR1	hsa-miR-20b-3p
EGR1	hsa-miR-20b-5p
EGR1	hsa-miR-212-3p
EGR1	hsa-miR-212-5p
EGR1	hsa-miR-214-3p
EGR1	hsa-miR-214-5p
EGR1	hsa-miR-219a-2-3p
EGR1	hsa-miR-219a-5p
EGR1	hsa-miR-23a-3p
EGR1	hsa-miR-23a-5p
EGR1	hsa-miR-24-2-5p
EGR1	hsa-miR-24-3p
EGR1	hsa-miR-27a-3p
EGR1	hsa-miR-27a-5p
EGR1	hsa-miR-301b-3p
EGR1	hsa-miR-301b-5p
EGR1	hsa-miR-30a-3p
EGR1	hsa-miR-30a-5p
EGR1	hsa-miR-30c-1-3p
EGR1	hsa-miR-30c-2-3p
EGR1	hsa-miR-30c-5p
EGR1	hsa-miR-30e-3p
EGR1	hsa-miR-30e-5p
EGR1	hsa-miR-32-3p
EGR1	hsa-miR-32-5p
EGR1	hsa-miR-335-3p
EGR1	hsa-miR-335-5p
EGR1	hsa-miR-425-3p
EGR1	hsa-miR-425-5p
EGR1	hsa-miR-455-3p
EGR1	hsa-miR-455-5p
EGR1	hsa-miR-596
EGR1	hsa-miR-642a-3p
EGR1	hsa-miR-642a-5p
EGR1	hsa-miR-675-3p
EGR1	hsa-miR-675-5p
EGR1	hsa-miR-92b-3p
EGR1	hsa-miR-92b-5p
EGR1	hsa-miR-96-3p
EGR1	hsa-miR-96-5p
EGR1	hsa-miR-99b-3p
EGR1	hsa-miR-99b-5p
EGR2	hsa-miR-142-3p
EGR2	hsa-miR-142-5p
EGR3	hsa-miR-146a-3p
EGR3	hsa-miR-146a-5p
EGR3	hsa-miR-146b-3p
EGR3	hsa-miR-146b-5p
EGR3	hsa-miR-195-3p
EGR3	hsa-miR-195-5p
EHF	hsa-let-7b-3p
EHF	hsa-let-7b-5p
EHF	hsa-miR-424-3p
EHF	hsa-miR-424-5p
EHMT2	hsa-let-7b-3p
EHMT2	hsa-let-7b-5p
EHMT2	hsa-miR-200c-3p
EHMT2	hsa-miR-200c-5p
EIF2C2	hsa-let-7b-3p
EIF2C2	hsa-let-7b-5p
EIF2C2	hsa-let-7c-3p
EIF2C2	hsa-let-7c-5p
EIF2C2	hsa-let-7d-3p
EIF2C2	hsa-let-7d-5p
EIF2C2	hsa-let-7e-3p
EIF2C2	hsa-let-7e-5p
EIF2C2	hsa-let-7g-3p
EIF2C2	hsa-let-7g-5p
EIF2C2	hsa-let-7i-3p
EIF2C2	hsa-let-7i-5p
EIF2C2	hsa-miR-142-3p
EIF2C2	hsa-miR-142-5p
EIF2C2	hsa-miR-150-3p
EIF2C2	hsa-miR-150-5p
ELK1	hsa-miR-144-3p
ELK1	hsa-miR-144-5p
ELK1	hsa-miR-17-3p
ELK1	hsa-miR-17-5p
ELK1	hsa-miR-18a-3p
ELK1	hsa-miR-18a-5p
ELK1	hsa-miR-19a-3p
ELK1	hsa-miR-19a-5p
ELK1	hsa-miR-19b-1-5p
ELK1	hsa-miR-19b-3p
ELK1	hsa-miR-200b-3p
ELK1	hsa-miR-200b-5p
ELK1	hsa-miR-20a-3p
ELK1	hsa-miR-20a-5p
ELK1	hsa-miR-210-3p
ELK1	hsa-miR-210-5p
ELK1	hsa-miR-31-3p
ELK1	hsa-miR-31-5p
ELK1	hsa-miR-34a-3p
ELK1	hsa-miR-34a-5p
ELK1	hsa-miR-92a-1-5p
ELK1	hsa-miR-92a-3p
ELK3	hsa-miR-155-3p
ELK3	hsa-miR-155-5p
EMSY	hsa-miR-31-3p
EMSY	hsa-miR-31-5p
EMX2	hsa-miR-181a-2-3p
EMX2	hsa-miR-181a-3p
EMX2	hsa-miR-181a-5p
EMX2	hsa-miR-181b-2-3p
EMX2	hsa-miR-181b-3p
EMX2	hsa-miR-181b-5p
EP300	hsa-miR-141-3p
EP300	hsa-miR-141-5p
EP300	hsa-miR-150-3p
EP300	hsa-miR-150-5p
EP300	hsa-miR-200c-3p
