miRNA	Gene
mmu-miR-22-3p	Erbb3
mmu-miR-22-3p	Cdc25c
mmu-miR-182-5p	Foxo3
mmu-miR-143-3p	Kras
mmu-miR-143-3p	Rreb1
mmu-miR-145a-5p	Rreb1
mmu-miR-145a-5p	Kras
mmu-miR-29a-3p	Hdac4
mmu-miR-29c-3p	Hdac4
mmu-miR-375-3p	Yap1
mmu-miR-155-5p	Fos
mmu-miR-24-3p	Bcl2l11
mmu-miR-125b-5p	Stat3
mmu-miR-125b-5p	Bak1
mmu-miR-125b-5p	Jun
mmu-miR-125b-5p	Jund
mmu-miR-145a-5p	Sox9
mmu-miR-132-3p	Ptbp2
mmu-miR-143-3p	Ptn
mmu-miR-130b-3p	Meox2
mmu-miR-301b-3p	Meox1
mmu-miR-721	Meox2
mmu-miR-125b-5p	Ppp1ca
mmu-miR-125b-5p	Prkra
mmu-miR-140-5p	asp1
mmu-miR-27b-3p	Pparg
mmu-miR-34a-5p	Sirt1
mmu-miR-194-5p	Fzd6
mmu-miR-29b-3p	Tbx21
mmu-miR-29b-3p	Eomes
mmu-miR-125b-1-3p	Srf
mmu-miR-125b-1-3p	Nkx2-5
mmu-miR-125b-1-3p	Prpf8
mmu-miR-155-5p	Tspan14
mmu-miR-155-5p	Lpin1
mmu-miR-155-5p	Pmaip1
mmu-miR-34a-5p	Notch1
mmu-miR-133a-3p	Igf1r
mmu-miR-320-3p	Ets2
mmu-miR-320-3p	Mmp9
mmu-miR-320-3p	Emilin2
mmu-miR-125a-5p	Cbx7
mmu-miR-181a-5p	Cbx7
mmu-miR-181b-5p	Cbx7
mmu-miR-451a	Myc
mmu-miR-709	Myc
mmu-miR-709	Akt1
mmu-miR-15a-5p	Ccnt2
mmu-miR-743a-3p	Mdh2
mmu-miR-206-3p	Timp3
mmu-miR-146a-5p	Notch1
mmu-miR-195a-5p	Sirt1
mmu-miR-141-3p	Mapk14
mmu-miR-21a-5p	Tgfbi
mmu-miR-29a-3p	Col2a1
mmu-miR-29b-3p	Col2a1
mmu-miR-27b-3p	Cxcl12
mmu-miR-34c-5p	Atf1
mmu-miR-148a-3p	Rock1
mmu-miR-1a-3p	Cdc42
mmu-miR-298-5p	Vdr
mmu-miR-29c-3p	Spry1
mmu-miR-184-3p	Numbl
mmu-miR-346-5p	Nrip1
mmu-miR-218-5p	Onecut2
mmu-miR-23a-3p	Runx2
mmu-miR-16-5p	Slc6a4
mmu-miR-296-5p	Tmed9
mmu-miR-199a-3p	Smad1
mmu-miR-199a-3p	Runx1
mmu-miR-192-5p	Zeb2
mmu-miR-199a-3p	COX2
mmu-miR-22-3p	Arpc5
mmu-miR-883a-5p	Arpc5
mmu-miR-19b-3p	Neurod1
mmu-miR-382-5p	Klk5
mmu-miR-2861	Hdac5
mmu-miR-10a-5p	Bcl2l11
mmu-miR-106b-5p	Bcl2l11
mmu-miR-17-5p	Bcl2l11
mmu-miR-125b-5p	Suv39h1
mmu-miR-19b-3p	Arpc3
mmu-miR-29a-3p	Arpc3
mmu-miR-34a-5p	Dll1
mmu-miR-9-5p	Zfp521
mmu-miR-495-3p	Onecut1
mmu-miR-132-3p	Nr4a2
mmu-miR-127-3p	Fcgr1
mmu-miR-132-3p	Arhgap32
mmu-miR-17-5p	Sqstm1
mmu-miR-20a-5p	Sqstm1
mmu-miR-93-5p	Sqstm1
mmu-miR-106a-5p	Sqstm1
mmu-miR-451a	Ywhaz
mmu-miR-223-3p	Stat3
mmu-miR-96-5p	Clic5
mmu-miR-182-5p	Clic5
mmu-miR-124-3p	Dlx5
mmu-miR-181a-5p	Msx2
mmu-miR-142a-3p	Arntl
mmu-miR-25-3p	Wwp2
mmu-miR-471-5p	Foxd1
mmu-miR-471-5p	Dsc1
mmu-miR-125b-5p	Cbfb
mmu-miR-182-5p	Tbx1
mmu-miR-103-3p	Nf1
mmu-miR-137-3p	Nf1
mmu-miR-128-3p	Nf1
mmu-miR-16-5p	Ccne1
mmu-miR-297b-5p	Mllt3
mmu-miR-297b-3p	Mllt3
mmu-miR-195a-5p	Bace1
mmu-miR-30d-5p	Map4k4
mmu-miR-125a-5p	4632428N05Rik
mmu-miR-125b-5p	4632428N05Rik
mmu-miR-145a-5p	Ccnd2
mmu-miR-145a-5p	Acvr1b
mmu-miR-511-3p	Rock2
mmu-miR-467b-5p	Lpl
mmu-miR-30a-5p	Snai1
mmu-miR-30c-5p	Snai1
mmu-miR-125b-5p	Snai1
mmu-miR-370-3p	Bmpr2
mmu-miR-370-3p	Estq1
mmu-miR-449a-5p	Ccnd1
mmu-miR-449a-5p	Bcl2
mmu-miR-449a-5p	E2f2
mmu-miR-449a-5p	E2f3
mmu-miR-449a-5p	Myc
mmu-miR-7578	Egr1
mmu-miR-146a-5p	Med1
mmu-miR-223-3p	Gria2
mmu-miR-223-3p	Grin2b
mmu-miR-205-5p	Lrrk2
mmu-miR-145a-5p	Sp7
mmu-miR-92a-3p	Map2k4
mmu-miR-22-3p	Ywhaz
mmu-miR-1a-3p	Tlx2
mmu-miR-1a-3p	Anxa5
mmu-miR-135b-5p	Il1r1
mmu-miR-290a-3p	Arid4b
mmu-miR-181a-5p	Tgfbi
